route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Oa_36_3,1,5634,Orbiter via The Palms,,0,99703,4347,1,1
125_05_3,1,3874,Redwood via Hornby,,1,25705,4310,1,1
5_14_3,1,3107,Hornby via City,,1,5711,4318,1,1
60_66_3,1,3343,Southshore via City,,0,6071,4323,1,1
60_66_3,1,3338,Southshore via City,,0,6073,4323,1,1
100_36_3,1,4961,Halswell,,1,10072,4605,1,1
100_36_3,1,4983,The Palms,,0,10075,4603,1,1
130_73_3,1,3642,Hei Hei & Hornby,,0,13074,4612,1,1
107_71_3,1,7404,Northlands,,0,10771,4125,1,1
5_14_3,1,3075,New Brighton via City,,0,5704,4320,1,1
7_77_3,1,5514,Halswell via City,,0,7707,4154,1,1
1_62_3,1,1573,Princess Margaret Hospital,,0,1085,2110,1,1
95_26_3,1,1927,City & Ara Institute,,0,9574,4144,1,1
7_77_3,1,5489,Queenspark via City,,1,7701,4153,1,1
7_77_3,1,5485,Queenspark via City,,1,7708,4153,1,1
44_01_3,1,3467,Shirley & Dallington,,1,4471,4317,1,1
1_62_3,1,1514,Belfast via City,,1,1075,4402,1,1
80_61_3,1,1798,Parklands via City,,0,8077,4337,1,1
Oa_36_3,1,5061,Orbiter via The Palms,,0,99701,4347,1,1
100_36_3,1,4950,Halswell,,1,10076,4605,1,1
100_36_3,1,4986,The Palms,,0,10072,4603,1,1
3_67_3,1,4495,Sumner via City,,0,3713,4615,1,1
140_00_3,1,2712,Russley & Hornby via Eastgate,,0,1475,4136,1,1
100_36_3,1,4965,The Palms,,0,10074,4603,1,1
Oc_36_3,1,5549,Orbiter via St Martins,,1,89704,4209,1,1
120_42_3,1,4093,Burnside,,1,12072,4602,1,1
130_73_3,1,3643,Hei Hei & Hornby,,0,13073,4612,1,1
44_01_3,1,3458,Westmorland via City,,0,4471,3344,1,1
3_67_3,1,4504,Sumner via City,,0,3709,4614,1,1
1_62_3,1,1541,Princess Margaret Hospital & Cashmere,,0,1079,2108,1,1
7_77_3,1,5519,Halswell via City,,0,7705,4154,1,1
5_14_3,1,3092,Hornby via City,,1,5703,4318,1,1
8_44_3,1,10254,Airport via Colombo St & City,,1,80704,4331,1,1
3_67_3,1,4466,Sheffield Cres via University,,1,3704,4202,1,1
27_17_3,1,10681,Huntsbury via City,,0,27702,4404,1,1
29_04_3,1,2507,City via Fendalton,,0,2972,2150,1,1
60_66_3,1,3333,Southshore via City,,0,6074,4323,1,1
7_77_3,1,5501,Queenspark via City,,1,7703,4153,1,1
5_14_3,1,3129,Hornby via City,,1,5710,4318,1,1
3_67_3,1,4451,Airport via University,,1,3702,4203,1,1
100_36_3,1,4933,Halswell,,1,10072,4605,1,1
Oc_36_3,1,5197,Orbiter via St Martins,,1,89703,4209,1,1
60_66_3,1,3362,Southshore via City,,0,6076,4323,1,1
100_36_3,1,4971,The Palms,,0,10075,4603,1,1
8_44_3,1,10223,Lyttelton via City & Colombo St,,0,80703,4326,1,1
80_61_3,1,1824,Lincoln via City,,1,8075,4339,1,1
29_04_3,1,2502,City via Fendalton,,0,2972,2150,1,1
140_00_3,1,2723,Russley & Hornby via Eastgate,,0,1471,4136,1,1
60_66_3,1,3340,Southshore via City,,0,6077,4323,1,1
140_00_3,1,2709,Russley & Hornby via Eastgate,,0,1477,4136,1,1
7_77_3,1,5534,Halswell via City,,0,7702,4154,1,1
125_05_3,1,3839,Westlake & Halswell via Hornby,,0,25701,3403,1,1
44_01_3,1,3473,Shirley & Dallington,,1,4472,4317,1,1
8_44_3,1,10255,Airport via Colombo St & City,,1,80703,4331,1,1
29_04_3,1,2514,Airport via Fendalton,,1,2971,2151,1,1
F_94_4,1,7111,Diamond Harbour,,1,7777,2207,1,1
F_94_4,1,7096,Lyttelton,,0,7777,2206,1,1
100_36_3,1,4954,Halswell,,1,10071,4605,1,1
3_67_3,1,4509,Sumner via City,,0,3701,4615,1,1
3_67_3,1,4508,Sumner via City,,0,3713,4614,1,1
1_62_3,1,1490,Belfast via City,,1,1082,4402,1,1
1_62_3,1,1484,Rangiora via City,,1,1078,4303,1,1
7_77_3,1,5484,Queenspark via City,,1,7705,4153,1,1
3_67_3,1,4527,Sumner via City,,0,3706,4615,1,1
Oa_36_3,1,5080,Orbiter via The Palms,,0,99706,4347,1,1
1_62_3,1,1507,Belfast via City,,1,1079,4302,1,1
5_14_3,1,3120,Hornby via City,,1,5706,4318,1,1
140_00_3,1,2706,Russley & Hornby via Eastgate,,0,1476,4136,1,1
7_77_3,1,5503,Halswell via City,,0,7703,4154,1,1
29_04_3,1,2488,City via Fendalton,,0,2972,2150,1,1
F_94_4,1,7103,Diamond Harbour,,1,7777,2207,1,1
5_14_3,1,3122,Hornby via City,,1,5702,4318,1,1
27_17_3,1,10721,Northwood via City,,1,27703,4502,1,1
5_14_3,1,3098,Hornby via City,,1,5708,4318,1,1
100_36_3,1,4963,The Palms,,0,10072,4603,1,1
820_74_3,1,3979,Lincoln,,0,82072,4340,1,1
8_44_3,1,10214,Lyttelton via City & Colombo St,,0,80706,4326,1,1
125_05_3,1,3838,Westlake & Halswell via Hornby,,0,25704,3403,1,1
5_14_3,1,3090,New Brighton via City,,0,5713,4320,1,1
5_14_3,1,3055,New Brighton via City,,0,5711,4320,1,1
140_00_3,1,2724,Russley & Hornby via Eastgate,,0,1473,4136,1,1
140_00_3,1,2695,Mt Pleasant via Eastgate,,1,1475,4012,1,1
130_73_3,1,3659,Hei Hei & Hornby,,0,13071,4612,1,1
140_00_3,1,2674,Mt Pleasant via Eastgate,,1,1472,4012,1,1
7_77_3,1,5476,Queenspark via City,,1,7708,4153,1,1
Oa_36_3,1,5067,Orbiter via The Palms,,0,99705,4347,1,1
820_74_3,1,3969,Burnham,,1,82071,3365,1,1
8_44_3,1,10235,Lyttelton via City & Colombo St,,0,80701,4326,1,1
60_66_3,1,3344,Southshore via City,,0,6072,4323,1,1
F_94_4,1,7100,Lyttelton,,0,7777,2206,1,1
820_74_3,1,3967,Burnham,,1,82071,3365,1,1
Oc_36_3,1,5565,Orbiter via St Martins,,1,89703,4209,1,1
Oa_36_3,1,5622,Orbiter via The Palms,,0,99703,4347,1,1
140_00_3,1,2690,Mt Pleasant via Eastgate,,1,1474,4012,1,1
27_17_3,1,10665,Huntsbury via City,,0,27706,4404,1,1
3_67_3,1,4530,Sumner via City,,0,3712,4614,1,1
44_01_3,1,3472,Westmorland via City,,0,4472,3344,1,1
Oc_36_3,1,5216,Orbiter via St Martins,,1,89705,4209,1,1
1_62_3,1,1489,Belfast via City,,1,1081,4302,1,1
3_67_3,1,4442,Sheffield Cres via University,,1,3706,4202,1,1
3_67_3,1,4522,Sumner via City,,0,3701,4614,1,1
97_72_3,1,2013,Acacia Ave Rangiora,,1,9576,2204,1,1
80_61_3,1,1791,Parklands via City,,0,8077,4337,1,1
27_17_3,1,10689,Huntsbury via City,,0,27705,4404,1,1
100_36_3,1,4958,Halswell,,1,10075,4605,1,1
3_67_3,1,4505,Sumner via City,,0,3710,4615,1,1
95_26_3,1,1924,City & Ara Institute,,0,9571,4144,1,1
107_71_3,1,7408,Northlands,,0,10771,4125,1,1
1_62_3,1,1570,Princess Margaret Hospital,,0,1084,4308,1,1
3_67_3,1,4532,Sumner via City,,0,3703,4614,1,1
Oc_36_3,1,5206,Orbiter via St Martins,,1,89704,4209,1,1
5_14_3,1,3074,New Brighton via City,,0,5701,4320,1,1
7_77_3,1,5527,Halswell via City,,0,7706,4154,1,1
95_26_3,1,1928,City & Ara Institute,,0,9575,4144,1,1
107_71_3,1,7413,Styx Mill & Supa Centa,,1,10771,4309,1,1
100_36_3,1,4947,Halswell,,1,10074,4605,1,1
1_62_3,1,1486,Belfast via City,,1,1079,4402,1,1
1_62_3,1,1531,Princess Margaret Hospital,,0,1076,4308,1,1
3_67_3,1,4520,Sumner via City,,0,3712,4614,1,1
27_17_3,1,10674,Huntsbury via City,,0,27703,4404,1,1
125_05_3,1,3850,Westlake & Halswell via Hornby,,0,25704,3403,1,1
F_94_4,1,7092,Lyttelton,,0,7777,2206,1,1
1_62_3,1,1566,Princess Margaret Hospital,,0,1072,4308,1,1
125_05_3,1,3834,Westlake & Halswell via Hornby,,0,25701,3403,1,1
80_61_3,1,1827,Lincoln via City,,1,8074,4339,1,1
27_17_3,1,10699,Northwood via City,,1,27702,4502,1,1
130_73_3,1,3637,Hei Hei & Hornby,,0,13074,4612,1,1
140_00_3,1,2717,Russley & Hornby via Eastgate,,0,1473,4136,1,1
3_67_3,1,4529,Sumner via City,,0,3709,4614,1,1
130_73_3,1,3675,Avonhead,,1,13073,3321,1,1
130_73_3,1,3671,Avonhead,,1,13071,3321,1,1
3_67_3,1,4493,Sumner via City,,0,3711,4615,1,1
60_66_3,1,3334,Southshore via City,,0,6075,4323,1,1
5_14_3,1,3102,Hornby via City,,1,5707,4318,1,1
7_77_3,1,5486,Queenspark via City,,1,7702,4153,1,1
5_14_3,1,3096,Hornby via City,,1,5705,4318,1,1
1_62_3,1,1555,Princess Margaret Hospital & Cashmere,,0,1082,2108,1,1
27_17_3,1,10675,Huntsbury via City,,0,27702,4404,1,1
29_04_3,1,2512,City via Fendalton,,0,2972,2150,1,1
5_14_3,1,3083,New Brighton via City,,0,5701,4321,1,1
100_36_3,1,4993,The Palms,,0,10075,4603,1,1
44_01_3,1,3465,Shirley & Dallington,,1,4472,4317,1,1
3_67_3,1,4447,Airport via University,,1,3711,4203,1,1
F_94_4,1,7102,Lyttelton,,0,7777,2206,1,1
140_00_3,1,2721,Russley & Hornby via Eastgate,,0,1473,4136,1,1
44_01_3,1,3468,Westmorland via City,,0,4472,3344,1,1
125_05_3,1,3841,Westlake & Halswell via Hornby,,0,25702,3403,1,1
7_77_3,1,5539,Halswell via City,,0,7702,4154,1,1
29_04_3,1,2510,City via Fendalton,,0,2972,2150,1,1
7_77_3,1,5511,Halswell via City,,0,7708,4154,1,1
7_77_3,1,5482,Queenspark via City,,1,7703,4153,1,1
80_61_3,1,1802,Parklands via City,,0,8071,4337,1,1
5_14_3,1,3088,New Brighton via City,,0,5701,4320,1,1
F_94_4,1,7099,Lyttelton,,0,7777,2206,1,1
3_67_3,1,4453,Airport via University,,1,3704,4203,1,1
29_04_3,1,2505,City via Fendalton,,0,2972,2150,1,1
7_77_3,1,5487,Queenspark via City,,1,7704,4153,1,1
29_04_3,1,2496,City via Fendalton,,0,2972,2150,1,1
60_66_3,1,3321,Hillmorton & Wigram via City,,1,6076,4324,1,1
29_04_3,1,2501,City via Fendalton,,0,2973,2150,1,1
5_14_3,1,3095,Rolleston via City,,1,5706,4319,1,1
130_73_3,1,3644,Hei Hei & Hornby,,0,13071,4612,1,1
29_04_3,1,2498,City via Fendalton,,0,2973,2150,1,1
8_44_3,1,10231,Lyttelton via City & Colombo St,,0,80702,4326,1,1
60_66_3,1,3311,Hillmorton & Wigram via City,,1,6074,4324,1,1
3_67_3,1,4487,Sumner via City,,0,3701,4614,1,1
100_36_3,1,4951,Halswell,,1,10072,4605,1,1
97_72_3,1,1995,Pegasus,,0,9574,3380,1,1
27_17_3,1,10685,Huntsbury via City,,0,27703,4404,1,1
100_36_3,1,4948,Halswell,,1,10075,4605,1,1
1_62_3,1,1503,Belfast via City,,1,1083,4302,1,1
3_67_3,1,4515,Sumner via City,,0,3707,4615,1,1
